district_id,district_name,geometry_type,coordinates_count,centroid_lat,centroid_lng
chikmagalur,Chikmagalur,MultiPolygon,658,13.454274340080042,75.69134413064675
dakshina-kannada,Dakshina Kannada,MultiPolygon,743,12.838220617440493,75.26665092284719
davanagere,Davanagere,MultiPolygon,646,14.408032076285165,75.95476988896678
gadag,Gadag,MultiPolygon,555,15.43106589265635,75.66627799297417
gulbarga,Gulbarga,MultiPolygon,687,17.26017443129774,76.86948823144253
mandya,Mandya,MultiPolygon,648,12.61035566614577,76.79795672185631
shimoga,Shimoga,MultiPolygon,758,14.043552850816061,75.22065034473488
tumkur,Tumkur,MultiPolygon,1058,13.520227700382463,76.94766688950877
udupi,Udupi,MultiPolygon,824,13.466688733692735,74.88349796009278
uttara-kannada,Uttara Kannada,MultiPolygon,1550,14.794090376996694,74.62291749762404
bijapur,Bijapur,MultiPolygon,621,16.79372411977298,75.9530963032799
mysore,Mysore,MultiPolygon,800,12.208801806935842,76.44211909989737
bagalkot,Bagalkot,MultiPolygon,651,16.220549027100446,75.62537558663041
bidar,Bidar,MultiPolygon,526,17.9528289359501,77.22645384574776
chamarajanagar,Chamarajanagar,MultiPolygon,619,11.956894245561601,77.09975470270265
hassan,Hassan,MultiPolygon,790,12.995355635233654,76.10906375975239
haveri,Haveri,MultiPolygon,548,14.738084073321481,75.41771427706072
kodagu,Kodagu,MultiPolygon,564,12.324364106263683,75.80327453719757
koppal,Koppal,MultiPolygon,540,15.56174934162842,76.22186573170546
bangalore-rural,Bangalore Rural,MultiPolygon,497,13.22566799370606,77.57501118529886
bangalore-urban,Bangalore Urban,MultiPolygon,362,12.950834944622217,77.5959361247645
belgaum,Belgaum,MultiPolygon,1114,16.119442096578993,74.82298194541448
bellary,Bellary,Polygon,408,15.180062595580852,76.74000283296711
vijayanagara,Vijayanagara,Polygon,332,14.974116585788837,76.13634261615127
chikkaballapura,Chikkaballapura,MultiPolygon,414,13.578231711758463,77.83618932316645
chitradurga,Chitradurga,MultiPolygon,625,14.167502530722999,76.51642591261101
dharwad,Dharwad,MultiPolygon,451,15.38935195449428,75.15383897491887
kolar,Kolar,MultiPolygon,483,13.139328034194547,78.21769318613647
raichur,Raichur,MultiPolygon,458,16.08947382629953,76.8931467991351
ramanagara,Ramanagara,MultiPolygon,485,12.678547168228299,77.33649866016621
yadgir,Yadgir,MultiPolygon,380,16.626411510948383,76.91363627401421
