district_id,police_station_id,crime_category_id,crime_registered_date,day_of_week,week_of_year,crime_month,crime_quarter,crime_year,lag_1,lag_7,lag_30,rolling_avg_7,rolling_avg_30,crime_count
46044000000058012,46044000000052491,46044000000058018,2025-02-22,6,8,2,1,2025,,,,8,8,8
46044000000053033,46044000000052525,46044000000056021,2024-05-15,3,20,5,2,2024,,,,10,10,10
46044000000056014,46044000000052473,46044000000056022,2025-11-14,5,46,11,4,2025,,,,8,8,8
46044000000058014,46044000000053542,46044000000056022,2024-04-25,4,17,4,2,2024,,,,8,8,8
46044000000058013,46044000000052531,46044000000053039,2022-10-05,3,40,10,4,2022,,,,10,10,10
46044000000054017,46044000000053606,46044000000053038,2023-07-11,2,28,7,3,2023,,,,8,8,8
46044000000055009,46044000000053604,46044000000053038,2024-05-19,0,20,5,2,2024,,,,9,9,9
46044000000057004,46044000000053521,46044000000053040,2022-04-11,1,15,4,2,2022,,,,10,10,10
46044000000056017,46044000000052560,46044000000052021,2024-01-24,3,4,1,1,2024,,,,10,10,10
46044000000058015,46044000000052497,46044000000056022,2023-08-08,2,32,8,3,2023,,,,9,9,9
46044000000058014,46044000000052446,46044000000053038,2025-05-11,0,19,5,2,2025,,,,8,8,8
46044000000056013,46044000000054492,46044000000055012,2025-03-05,3,10,3,1,2025,,,,9,9,9
46044000000058013,46044000000053561,46044000000058018,2024-01-11,4,2,1,1,2024,,,,7,7,7
46044000000056013,46044000000052490,46044000000057008,2024-06-12,3,24,6,2,2024,,,,10,10,10
46044000000056015,46044000000054499,46044000000053040,2024-10-20,0,42,10,4,2024,,,,9,9,9
46044000000057004,46044000000053508,46044000000053039,2022-07-11,1,28,7,3,2022,,,,8,8,8
46044000000053033,46044000000053531,46044000000053040,2022-01-16,0,2,1,1,2022,,,,9,9,9
46044000000057004,46044000000052493,46044000000058017,2025-01-07,2,2,1,1,2025,,,,10,10,10
46044000000054016,46044000000052537,46044000000053040,2023-01-11,3,2,1,1,2023,,,,9,9,9
46044000000053031,46044000000052451,46044000000054027,2025-12-28,0,52,12,4,2025,,,,9,9,9
46044000000053033,46044000000052525,46044000000056022,2024-05-15,3,20,5,2,2024,,,,8,8,8
46044000000057005,46044000000054509,46044000000056022,2025-04-12,6,15,4,2,2025,,,,8,8,8
46044000000056013,46044000000053569,46044000000058017,2022-10-11,2,41,10,4,2022,,,,8,8,8
46044000000058011,46044000000052446,46044000000054027,2024-11-25,1,48,11,4,2024,,,,10,10,10
46044000000053034,46044000000053499,46044000000053038,2023-02-09,4,6,2,1,2023,,,,9,9,9
46044000000058011,46044000000052468,46044000000053039,2022-02-21,1,8,2,1,2022,,,,10,10,10
46044000000053034,46044000000052570,46044000000058018,2022-01-07,5,1,1,1,2022,,,,10,10,10
46044000000058015,46044000000052523,46044000000058017,2024-01-13,6,2,1,1,2024,,,,8,8,8
46044000000057004,46044000000052479,46044000000056022,2025-09-04,4,36,9,3,2025,,,,7,7,7
