district_id,police_station_id,crime_category_id,incident_registered_date,count
KA-18,Turvihal PS,Assault,2025-10-27,100
KA-28,Gandhi Chowk PS,Cyber Crime,2022-08-09,78
KA-26,Gadag CEN Crime PS,Fraud,2022-01-06,77
KA-19,Kodihalli PS,Rioting,2025-12-02,77
KA-18,Idapanur PS,Robbery,2025-10-04,75
KA-06,Commercial Street PS,Vehicle Theft,2023-01-03,72
KA-03,Gundlupete PS,Theft,2022-07-22,68
KA-09,City Market PS,Cyber Crime,2022-03-02,65
KA-26,Guttal PS,Fraud,2023-03-20,62
KA-01,Shakti Nagar PS,Drug Offence,2022-01-18,58
KA-23,Mulbagal Rural PS,Burglary,2024-10-24,55
KA-06,Chittapura PS,Cyber Crime,2025-04-03,55
KA-23,APMC Navanagar,Drug Offence,2023-01-07,50
KA-26,Chitradurga Women PS,Theft,2022-03-03,50
KA-21,Gokarna PS,Rioting,2025-11-13,50
KA-01,Bajpe PS,Cyber Crime,2022-05-18,50
KA-03,Malpe PS,Vehicle Theft,2022-02-07,50
KA-11,Malavalli Town PS,Rioting,2025-06-13,50
KA-14,Mangaluru South PS,Burglary,2022-07-18,50
KA-09,Revoor PS,Fraud,2024-03-27,50
KA-30,Konanur PS,Domestic Violence,2022-12-18,50
KA-14,Jayanagar PS,Theft,2024-06-06,50
KA-07,CEN Crime PS Hubballi Dharwad City,Rioting,2023-08-26,50
KA-03,Mysuru CEN Crime PS,Burglary,2025-04-06,50
KA-04,Ghantikeri PS,Vehicle Theft,2022-02-22,50
KA-25,Abbinahole PS,Murder,2024-11-01,50
KA-14,Sira PS,Vehicle Theft,2022-04-02,50
KA-04,Tekkalkota PS,Murder,2022-07-05,50
KA-16,Chamarajpet PS,Kidnapping,2025-01-22,50
KA-04,Dhannura PS,Murder,2024-12-13,49
KA-12,Kembhavi PS,Kidnapping,2025-10-22,49
KA-02,Udupi CEN Crime PS,Kidnapping,2024-08-17,49
KA-18,Uppinangadi PS,Assault,2022-04-17,49
KA-21,Kasabapeth PS,Burglary,2023-04-07,49
KA-23,Ramanagara Women PS,Burglary,2023-09-17,49
KA-26,Kallambella PS,Drug Offence,2022-07-18,48
KA-26,Hirehadagali PS,Robbery,2022-12-01,48
KA-12,Jalhalli PS,Domestic Violence,2023-08-14,48
KA-06,Kapu PS,Kidnapping,2025-06-22,48
KA-25,Vidyaranyarpuram PS,Fraud,2025-07-16,48
KA-31,Belagavi City CEN Crime PS,Cyber Crime,2023-12-18,48
KA-11,Koppal Rural PS,Domestic Violence,2023-06-10,48
KA-27,Santemaralli PS,Robbery,2023-07-15,48
KA-07,Tavaregera PS,Kidnapping,2025-05-22,47
KA-02,Tiptur Town PS,Drug Offence,2023-07-03,47
KA-21,Besagaraghalli PS,Cyber Crime,2024-05-18,47
KA-11,Mico Layout PS,Assault,2025-03-12,47
KA-20,Sringeri PS,Murder,2023-01-28,47
KA-25,Thilakwadi PS,Murder,2024-09-21,47
KA-23,Mudalgi PS,Rioting,2025-10-05,47
KA-23,M.K. Doddi PS,Fraud,2023-06-01,46
KA-11,Malavalli Town PS,Drug Offence,2025-06-13,46
KA-29,Vyalikaval PS,Kidnapping,2022-10-26,46
KA-17,Balur PS,Domestic Violence,2023-07-02,46
KA-24,Malur PS,Burglary,2023-02-25,46
KA-28,Viveknagar PS,Vehicle Theft,2024-03-08,46
KA-11,Balur PS,Theft,2022-01-15,46
KA-13,Tiptur Town PS,Cyber Crime,2024-03-25,46
KA-20,Banavasi PS,Murder,2024-12-18,46
KA-03,Kudur PS,Domestic Violence,2025-11-07,46
KA-06,Tadas PS,Fraud,2023-02-10,46
KA-25,Kempegowda Nagar PS,Rioting,2022-12-06,45
KA-11,Mulbagal Rural PS,Fraud,2023-03-18,45
KA-31,Mandya West PS,Fraud,2023-03-04,45
KA-21,K.R. Nagar PS,Rioting,2025-02-22,45
KA-03,Gandhi Nagar PS,Cyber Crime,2022-04-22,45
KA-18,Sadashivanagar PS,Drug Offence,2025-07-08,45
KA-04,Gokarna PS,Vehicle Theft,2023-01-16,45
KA-15,Bajpe PS,Domestic Violence,2023-08-15,45
KA-07,Kollegala Town PS,Rioting,2025-06-05,45
KA-22,Devara Hipparagi PS,Murder,2024-02-01,45
KA-25,Kallambella PS,Vehicle Theft,2024-01-04,45
KA-03,Yelahanka PS,Cyber Crime,2025-12-26,45
KA-13,Doddaballapura Rural PS,Theft,2024-11-21,45
