id,act_id,chapter_name,chapter_number
1,2,PRELIMINARY,CHAPTER I
2,2,OFTHE CREATION OF TRUSTS,CHAPTER II
3,2,OF THE DUTIES AND LIABILITIES OF TRUSTEES,CHAPTER III
4,2,OF THE RIGHTS AND POWERS OF TRUSTEES,CHAPTER IV
5,2,OF THE DISABILITIES OF TRUSTEES,CHAPTER V
6,2,OF THE RIGHTS AND LIABILITIES OF THE BENEFICIARY,CHAPTER VI
7,2,OF VACATING THE OFFICE OF TRUSTEE,CHAPTER VII
8,2,OF THE EXTINCTION OF TRUSTS,CHAPTER VIII
9,2,OF CERTAIN OBLIGATIONS IN THE NATURE OF TRUSTS,CHAPTER IX
10,4,PRELIMINARY,CHAPTER I
11,4,APPOINTMENT AND DECLARATION OF GUARDIANS,CHAPTER II
12,4,"DUTIES, RIGHTS AND LIABILITIES OF GUARDIANS",CHAPTER III
13,4,SUPPLEMENTAL PROVISIONS,CHAPTER IV
14,7,PRELIMINARY,
15,7,GENERAL DEFINITIONS,
16,7,GENERAL RULES OF CONSTRUCTION,
17,7,POWERS AND FUNCTIONARIES,
18,7,"PROVISIONS AS TO ORDERS, RULES, ETC., MADE UNDER ENACTMENTS",
19,7,MISCELLANEOUS,
20,12,PRELIMINARY,CHAPTER I
21,12,REGISTRATION OF TRADE UNIONS,CHAPTER II
22,12,RIGHTS AND LIABILITIES OF REGISTERED TRADE UNIONS,CHAPTER III
23,12,REGULATIONS,CHAPTER IV
24,12,PENALTIES AND PROCEDURE,CHAPTER V
25,13,PRELIMINARY,CHAPTER I
26,13,FORMATION OF THE CONTRACT,CHAPTER II
27,13,EFFECTS OF THE CONTRACT,CHAPTER III
28,13,PERFORMANCE OF THE CONTRACT,CHAPTER IV
29,13,RIGHTS OF UNPAID SELLER AGAINST THE GOODS,CHAPTER V
30,13,SUITS FOR BREACH OF THE CONTRACT,CHAPTER VI
31,13,MISCELLANEOUS,CHAPTER VII
32,16,PRELIMINARY,CHAPTER I
33,16,AUTHORITIES UNDER THIS ACT,CHAPTER II
34,16,PENALTIES,CHAPTER VI
35,16,MISCELLANEOUS,CHAPTER VII
36,16,NOTICE OF CHANGE,CHAPTER IIA
37,16,REFERENCE OF CERTAIN INDIVIDUAL DISPUTES TO GRIEVANCE SETTLEMENT AUTHORITIES,CHAPTER IIB
38,16,"REFERENCE OF DISPUTES TO BOARDS, COURTS OR TRIBUNALS",CHAPTER III
39,16,"PROCEDURE, POWERS AND DUTIES OF AUTHORITIES",CHAPTER IV
40,16,STRIKES AND LOCK-OUTS,CHAPTER V
41,16,LAY-OFF AND RETRENCHMENT,CHAPTER VA
42,16,"SPECIAL PROVISIONS RELATING TO LAY-OFF, RETRENCHMENT AND CLOSURE IN CERTAIN ESTABLISHMENTS",CHAPTER VB
43,16,UNFAIR LABOUR PRACTICES,CHAPTER VC
44,18,INTRODUCTORY,CHAPTER I
45,18,THE PHARMACY COUNCIL OF INDIA,CHAPTER II
46,18,STATE PHARMACY COUNCILS,CHAPTER III
47,18,REGISTRATION OF PHARMACISTS,CHAPTER IV
48,18,MISCELLANEOUS,CHAPTER V
49,20,PRELIMINARY,CHAPTER I
50,20,,CHAPTER II
51,20,,CHAPTER III
52,20,,CHAPTER IV
53,20,,CHAPTER V
54,21,PRELIMINARY,CHAPTER I
55,21,THE INSTITUTE OF CHARTERED ACCOUNTANTS OF INDIA,CHAPTER II
56,21,COUNCIL OF THE INSTITUTE,CHAPTER III
57,21,REGISTER OF MEMBERS,CHAPTER IV
58,21,MISCONDUCT,CHAPTER V
59,21,REGIONAL COUNCILS,CHAPTER VI
60,21,PENALTIES,CHAPTER VII
61,21,QUALITY REVIEW BOARD,CHAPTER VII A
62,21,MISCELLANEOUS,CHAPTER VIII
63,22,PRELIMINARY,CHAPTER I
64,22,PRIMARY RIGHTS,CHAPTER II
65,22,GRANTS,CHAPTER XI
66,22,PREPARATION OF RECORD-OF-RIGHTS AND DETERMINATION AND MODIFICATION OF RENT AND RENT-RATES,CHAPTER XII
67,22,EXTRAORDINARY AND EMERGENCY PROVISIONS,CHAPTER XIII
68,22,PROCEDURE AND JURISDICTION OF COURTS,CHAPTER XIV
69,22,MISCELLANEOUS PROVISIONS,CHAPTER XV
70,22,POWER TO MAKE RULES,CHAPTER XVI
71,22,TRANSITIONAL PROVISIONS,CHAPTER XVII
72,22,,CHAPTER III
73,22,CLASSES OF TENANTS,CHAPTER IV
74,22,"DEVOLUTION, TRANSFER, EXTINOTION, DIVISION, EXCHANGE AND ACQUISITION",CHAPTER V
75,22,GENERAL PROVISIONS RELATING TO TENANCIES,CHAPTER VI
76,22,PREMIA AND OTHER LEVIES,CHAPTER VII
77,22,RENT AND ITS RECOVERY,CHAPTER VIII
78,22,EJECTMENT OF TENANTS,CHAPTER IX
79,22,COMPENSATION AND PENALTIES,CHAPTER X
80,23,PRELIMINARY,CHAPTER I
81,23,ROAD TRANSPORT CORPORATIONS,CHAPTER II
82,23,SUBSIDIARY CORPORATIONS,CHAPTER IIA
83,23,POWERS AND DUTIES OF CORPORATION,CHAPTER III
84,23,"FINANCE, ACCOUNTS AND AUDIT",CHAPTER IV
85,23,MISCELLANEOUS,CHAPTER V
86,23,SPECIAL PROVISIONS APPLICABLE TO THE UNION TERRITORY OF DELHI,CHAPTER VI
87,24,PRELIMINARY,
88,24,THE UNIVERSITY,
89,24,THE PARIDARSAKA (VISITOR),
90,24,THE PRADHANA (RECTOR),
91,24,OFFICERS OF THE UNIVERSITY,
92,24,AUTHORITIES OF THE UNIVERSITY,
93,24,"STATUTES, ORDINANCES AND REGULATIONS",
94,24,ADMISSIOIN AND EXAMINATIONS,
95,24,ANNUAL REPORTS AND ACCOUNTS,
